تاریخ,نام مشتری,نوع کالا,نام کالا,تعداد,قیمت واحد (ریال),جمع کل (ریال)
1404-01-15,شرکت آریا تجارت,الکترونیک,لپ‌تاپ,2,250000000,500000000
1404-02-03,پخش مواد غذایی پارس,خوراکی,چای صبحانه,150,85000,12750000
1404-02-21,کارخانه نساجی مازندران,پوشاک,پارچه پنبه‌ای,300,320000,96000000
1404-03-08,بیمارستان نور,پزشکی,دستگاه فشارسنج,12,4800000,57600000
1404-03-27,آموزشگاه زبان سفیر,آموزشی,پکیج کتاب زبان,80,950000,76000000
1404-04-11,شرکت ساختمانی البرز,مصالح,سیمان تیپ ۲,1200,260000,312000000
1404-04-29,فروشگاه زنجیره‌ای رفاه,خوراکی,روغن آفتابگردان,400,120000,48000000
1404-05-14,موسسه فناوری داده,نرم‌افزار,لیسانس نرم‌افزار حسابداری,25,18000000,450000000
1404-05-26,تعاونی کشاورزی فارس,کشاورزی,بذر گندم,900,175000,157500000
1404-06-02,هتل بین‌المللی تهران,تجهیزات,یخچال صنعتی,6,65000000,390000000
